SSC ID,Station Name,Country_x,Latitude,Longitude,IOC code,PTWC code,GLOSS ID_x,UHSLC ID,PSMSL ID,SONEL GPS,SONEL TG,Details,Edit,Code,GLOSS ID_y,Country_y,Location,Connection,DCP ID,Last observation  Level,Time in GMT,Delay,TransmitInterval,View
SSC-anto,Antofagasta,Chile,-23.65,-70.4,"anto, anto2",anto,174.0,80,"510, 511",2608,"2607, 2753",[details],[edit],anto2,174,Chile,Antofagasta,web,,4.69,08:47,12',5',[open]
SSC-anzio,Anzio,Italy,41.45,12.63,AZ42,,,,2136,,,[details],[edit],AZ42,,Italy,Anzio,web,,-999,2017-09-16 09:18,5d,5',[open]
SSC-apfl,Apalachicola,United States,29.73,-84.98,"apfl, apfl2",apfl,,760,1193,,,[details],[edit],apfl,,USA,Apalachicola,web,3346C2B4,0.65,08:49,10',5',[open]
SSC-apfl,Apalachicola,United States,29.73,-84.98,"apfl, apfl2",apfl,,760,1193,,,[details],[edit],apfl2,,USA,Apalachicola,SXXX03,3346C2B4,-6.03,08:48,11',5',[open]
SSC-arac,Arecibo,Puerto Rico,18.48,-66.7,"arac, aracS",arec,,735,2213,,,[details],[edit],arac,,Puerto Rico,Arecibo,web,,0.08,08:48,11',6',[open]
SSC-arca,Arcachon Eyrac,France,44.67,-1.16,arca,,,,1918,3191,1724,[details],[edit],arca,,France,Arcachon Eyrac,ftp,,1.99,08:47,11',5',[open]
SSC-aren,Arena Cove,United States,38.91,-123.71,"aren, aren2",aren,,573,2125,3026,3025,[details],[edit],aren,,USA,Arena Cove,web,3368115A,1.54,08:51,8',5',[open]
SSC-aren,Arena Cove,United States,38.91,-123.71,"aren, aren2",aren,,573,2125,3026,3025,[details],[edit],aren2,,USA,Arena Cove,SXXX03,3368115A,-7.81,08:44,15',5',[open]
SSC-aric,Arica,Chile,-18.48,-70.32,"aric, aric2",aric,,83,"1554, 618","2610, 3159",2609,[details],[edit],aric,,Chile,Arica,SXCH40,ADC0D056,3.94,08:47,12',5',[open]
SSC-aric,Arica,Chile,-18.48,-70.32,"aric, aric2",aric,,83,"1554, 618","2610, 3159",2609,[details],[edit],aric2,,Chile,Arica,web,,3.88,08:46,12',5',[open]
SSC-arre,Arrecife,Spain,28.97,-13.53,arre,,,205,"2066, 593",,,[details],[edit],arre,,Spain,Arrecife,ftp,,0.75,08:48,11',4',[open]
SSC-ascen,Ascension,United Kingdom,-7.92,-14.42,ascen,ascn,263.0,291,1831,630,1971,[details],[edit],ascen,263,UK,Ascension,SXXX32,265C94AA,0.02,2017-05-24 10:24,120d,15',[open]
SSC-ashd,Ashdod Port,Israel,31.83,34.64,ashd,,,,"2219, 855",2021,"2180, 3502",[details],[edit],ashd,,Israel,Ashdod Port,ftp,,0.03,2016-11-23 09:51,302d,1',[open]
SSC-ashk,Ashkhara,Oman,21.85,59.57,ashk,ashk,,,,,,[details],[edit],ashk,,Oman,Ashkhara,SXOM33,18E447FC,-999,06:25,3h,6',[open]
SSC-askl,Ashkelon,Israel,31.63,34.49,askl,,,,2220,,,[details],[edit],askl,,Israel,Ashkelon,ftp,,-1.42,2016-11-29 09:24,296d,1',[open]
SSC-asto,Astoria,United States,46.21,-123.77,"asto, asto2",asto,,572,265,"2093, 2690, 2691, 675",2176,[details],[edit],asto,,USA,Astoria,web,3362856A,2.7,08:50,9',5',[open]
SSC-asto,Astoria,United States,46.21,-123.77,"asto, asto2",asto,,572,265,"2093, 2690, 2691, 675",2176,[details],[edit],asto2,,USA,Astoria,SXXX03,3362856A,-5.86,2017-04-04 21:54,169d,5',[open]
SSC-avon,Avonmouth Portbury,United Kingdom,51.5,-2.73,avon,,,,"2011, 257",,,[details],[edit],avon,,UK,Avonmouth Portbury,ftp,,13.49,08:15,44',15',[open]
SSC-bamd,Baltimore,United States,39.27,-76.58,"bamd, bamd2",bamd,,,148,"2704, 3059",2703,[details],[edit],bamd,,USA,Baltimore,web,336577DA,0.72,08:48,11',5',[open]
SSC-bamd,Baltimore,United States,39.27,-76.58,"bamd, bamd2",bamd,,,148,"2704, 3059",2703,[details],[edit],bamd2,,USA,Baltimore,SXXX03,336577DA,-3.8,08:45,14',5',[open]
SSC-bame,Bar Harbor,United States,44.39,-68.21,"bame, bame2",bame,,,525,635,2353,[details],[edit],bame,,USA,Bar Harbor,web,336747B4,0.29,08:48,11',5',[open]
SSC-bame,Bar Harbor,United States,44.39,-68.21,"bame, bame2",bame,,,525,635,2353,[details],[edit],bame2,,USA,Bar Harbor,SXXX03,336747B4,-5.89,08:49,10',5',[open]
SSC-bamf,Bamfield,Canada,48.84,-125.14,bamf,,,,1242,3023,3022,[details],[edit],bamf,,Canada,Bamfield,ftp,,3.45,2017-09-20 20:30,12h,6h,[open]
SSC-bang,Bangor,United Kingdom,54.66,-5.67,bang,,,,1856,,,[details],[edit],bang,,UK,Bangor,ftp,,2.04,08:30,29',15',[open]
SSC-bara,Barahona,Dominican Republic,18.21,-71.09,bara,bara,,,745,3554,3553,[details],[edit],bara,,Dominican Republic,Barahona,SXDR40,04401622,-999,08:50,9',5',[open]
SSC-barb,Barbuda,Antigua and Barbuda,17.59,-61.82,"barb, barb2",barb,,,,,,[details],[edit],barb,,Antigua,Barbuda,web,334550D8,0.26,08:42,17',6',[open]
SSC-barb,Barbuda,Antigua and Barbuda,17.59,-61.82,"barb, barb2",barb,,,,,,[details],[edit],barb2,,Antigua,Barbuda,SXXX03,334550D8,-1.51,08:41,18',6',[open]
SSC-barc,Barcelona,Spain,41.34,2.16,barc,,,,1811,3533,3532,[details],[edit],barc,,Spain,Barcelona,ftp,,0.44,08:48,11',4',[open]
SSC-barii,Bari,Italy,41.14,16.87,BA05,,,,2075,,,[details],[edit],BA05,,Italy,Bari,web,,-999,2017-06-13 02:38,100d,5',[open]
SSC-barm,Barmouth,United Kingdom,52.72,-4.05,barm,,,,1771,,,[details],[edit],barm,,UK,Barmouth,ftp,,5.11,08:30,29',15',[open]
SSC-bass,Basseterre (Coast Guard Base),Saint Kitts and Nevis,17.29,-62.71,bass,bass,,,2004,,,[details],[edit],bass,,St. Kitts & Nevis,Basseterre (Coast Guard Base),SOAT10,FA8005BC,-999,08:48,11',5',[open]
SSC-bbbc,Bella Bella,Canada,52.16,-128.14,bbbc,bbbc,,,,,,[details],[edit],bbbc,,Canada,Bella Bella,SXAK50,CD401E4C,4.68,08:53,6',5',[open]
SSC-bell,Bella Bella,Canada,52.17,-128.13,,,,,984,3209,3208,[details],[edit],bbbc,,Canada,Bella Bella,SXAK50,CD401E4C,4.68,08:53,6',5',[open]
SSC-bdto,Bocas Del Toro,Panama,9.35,-82.26,bdto,bdto,,,,,,[details],[edit],bdto,,Panamá,Bocas Del Toro,SOPM10,F230215A,-2.35,08:48,11',5',[open]
SSC-beau,Beaufort,United States,32.43,-80.67,,,,,1537,,,[details],[edit],benc,,USA,Beaufort,web,3364C6AE,0.56,08:45,14',5',[open]
SSC-beau,Beaufort,United States,32.43,-80.67,,,,,1537,,,[details],[edit],benc2,,USA,Beaufort,SXXX03,3364C6AE,-3.58,08:38,21',5',[open]
SSC-benc,Beaufort,United States,34.72,-76.67,"benc, benc2",benc,,,719,,,[details],[edit],benc,,USA,Beaufort,web,3364C6AE,0.56,08:45,14',5',[open]
SSC-benc,Beaufort,United States,34.72,-76.67,"benc, benc2",benc,,,719,,,[details],[edit],benc2,,USA,Beaufort,SXXX03,3364C6AE,-3.58,08:38,21',5',[open]
SSC-beno,Benoa,Indonesia,-8.77,115.22,beno,beno,49.0,163,"1738, 2200","2945, 3404","2812, 3585",[details],[edit],beno,49,Indonesia,Benoa,SZID43,06508948,2.78,2017-04-13 20:10,161d,6',[open]
SSC-bgct,Bridgeport,United States,41.17,-73.18,"bgct, bgct2",bgct,,,1068,,,[details],[edit],bgct,,USA,Bridgeport,web,,0.76,08:42,17',5',[open]
SSC-bgct,Bridgeport,United States,41.17,-73.18,"bgct, bgct2",bgct,,,1068,,,[details],[edit],bgct2,,USA,Bridgeport,SXXX03,3372E712,-5.76,08:37,22',5',[open]
SSC-bitu,Bitung,Indonesia,1.44,125.19,bitu,bitg,69.0,33,"1709, 308","3215, 3405",2822,[details],[edit],bitu,69,Indonesia,Bitung,SZID42,06504284,5.74,07:17,2h,6',[open]
SSC-blueb,Blue Bay,Mauritius,-20.44,57.71,blueb,blue,,,930,,,[details],[edit],blueb,,Mauritius,Blue Bay,SXXX32,22BF90A6,3.58,08:45,14',15',[open]
SSC-bmsa,Bahia Mansa,Chile,-40.58,-73.74,"bmsa, bmsa2",bmsa,,,,,,[details],[edit],bmsa,,Chile,Bahia Mansa,SXCH40,14063458,3.26,08:47,12',5',[open]
SSC-bmsa,Bahia Mansa,Chile,-40.58,-73.74,"bmsa, bmsa2",bmsa,,,,,,[details],[edit],bmsa2,,Chile,Bahia Mansa,web,,3.13,08:50,9',5',[open]
SSC-bnjl,Banjul,Gambia,13.44,-16.57,bnjl,,,,,,,[details],[edit],bnjl,,Gambia,Banjul,ftp,18D497E4,1.37,2017-06-14 00:45,99d,1h,[open]
SSC-bodr,Bodrum,Turkey,37.03,27.42,bodr,bodr,,,"1204, 1680",,,[details],[edit],bodr,,Turkey,Bodrum,ftp,,1.06,2017-09-14 15:31,7d,2',[open]
SSC-boma,Boston,United States,42.36,-71.05,"boma, boma2",boma,,741,235,,,[details],[edit],boma,,USA,Boston,web,335E54EE,1.02,08:48,11',5',[open]
SSC-bork,Borkum Fischerbalje,Germany,53.56,6.75,bork,,,,"1037, 573","1938, 2511, 639",2512,[details],[edit],bork,,Germany,Borkum Fischerbalje,web,,5.31,10:00,-61',5',[open]
SSC-bouc,Boucau-Bayonne,France,43.53,-1.51,"bouc, bouc2",bouc,,,1801,3192,"1734, 3482",[details],[edit],bouc,,France,Boucau-Bayonne,ftp,,1.03,08:48,11',5',[open]
SSC-boul,Boulogne-Sur-Mer,France,50.73,1.58,"boul, boul2",boul,,,471,3187,1735,[details],[edit],boul,,France,Boulogne-Sur-Mer,ftp,,3.86,08:47,11',5',[open]
SSC-bour,Bournemouth,United Kingdom,50.71,-1.87,bour,,,,1878,,,[details],[edit],bour,,UK,Bournemouth,ftp,,2.32,08:30,29',15',[open]
SSC-bozy,Bozyazi,Turkey,36.1,32.94,bozy,,,,2014,,,[details],[edit],bozy,,Turkey,Bozyazi,ftp,,1.2,2017-09-14 15:31,7d,2',[open]
SSC-bres,Brest,France,48.38,-4.5,bres,,242.0,822,1,"3180, 642",1736,[details],[edit],bres,242,France,Brest,ftp,,2.63,08:47,12',5',[open]
SSC-brid,Bridgetown Port,Barbados,13.11,-59.62,brid,brid,,249,"1231, 1766","2092, 634",2217,[details],[edit],brid,,Barbados,Bridgetown Port,SOBR10,14004206,0.45,08:43,16',1h,[open]
SSC-brom,Broome,Australia,-18.0,122.22,brom,brom,40.0,166,"1159, 1171",3221,2806,[details],[edit],brom,40,Australia,Broome,SZAU01,62650,1.61,08:50,9',3',[open]
SSC-brpt,Barbers Point,United States,21.32,-158.12,brpt,brpt,,547,,,,[details],[edit],brpt,,Hawaii,Barbers Point,SEPO40,35403732,3.62,2017-07-17 10:07,66d,5',[open]
SSC-buca,Bucalemu,Chile,-34.64,-72.05,"buca, buca2, buca3",buca,,,,,,[details],[edit],buca,,Chile,Bucalemu,SXCH40,ADC203CA,2.87,08:48,11',5',[open]
SSC-buca,Bucalemu,Chile,-34.64,-72.05,"buca, buca2, buca3",buca,,,,,,[details],[edit],buca2,,Chile,Bucalemu,web,,-999,2016-11-10 17:02,315d,5',[open]
SSC-buca,Bucalemu,Chile,-34.64,-72.05,"buca, buca2, buca3",buca,,,,,,[details],[edit],buca3,,Chile,Bucalemu,web,,2.74,08:50,8',1',[open]
SSC-bull,Bullen Bay,Curacao,12.19,-69.02,"bull, will",bull,,878,,,,[details],[edit],bull,,Curaçao,Bullen Bay,SEPO40,3541C54C,2.58,08:51,8',5',[open]
SSC-busa,Busan,South Korea,35.09,129.04,busa,busa,84.0,,955,2909,2830,[details],[edit],busa,84,Korea,Busan,ftp,,0.79,08:46,13',1',[open]
SSC-buve,Buenaventura,Colombia,3.89,-77.08,"buve, buve2",buve,170.0,85,456,2046,2393,[details],[edit],buve,170,Colombia,Buenaventura,ftp,,4.72,08:02,57',5',[open]
SSC-buve,Buenaventura,Colombia,3.89,-77.08,"buve, buve2",buve,170.0,85,456,2046,2393,[details],[edit],buve2,170,Colombia,Buenaventura,SXCO41,15AA92C8,5.19,08:51,8',5',[open]
SSC-cabc,Carrie Bow Cay,Belize,16.8,-88.08,cabc,cabc,,,,,,[details],[edit],cabc,,Belize,Carrie Bow Cay,SOBH10,777022C4,1.01,08:39,20',5',[open]
SSC-cadi,Cadiz,Spain,36.5,-6.2,cadi,cadi,,,"209, 514, 985","3055, 3460, 839","2182, 2397",[details],[edit],cadi,,Spain,Cadiz,bgan,CADI,0.14,08:38,21',1',[open]
SSC-cagl,Cagliari,Italy,39.21,9.11,CA02,cagl,,,"104, 2089","2412, 3575, 645",2252,[details],[edit],CA02,,Italy,Cagliari,web,,-999,2017-09-14 08:07,7d,5',[open]
SSC-cala,Calais,France,50.97,1.87,"cala, cala2",cals,,,455,3539,1739,[details],[edit],cala,,France,Calais,ftp,,2.33,08:46,12',5',[open]
SSC-cald,Caldera,Chile,-27.06,-70.82,"cald, cald2",cald,,88,"1512, 619",,,[details],[edit],cald,,Chile,Caldera,SXCH40,ADC104C4,3.93,08:48,11',5',[open]
SSC-cald,Caldera,Chile,-27.06,-70.82,"cald, cald2",cald,,88,"1512, 619",,,[details],[edit],cald2,,Chile,Caldera,web,,3.86,08:47,12',5',[open]
SSC-camp,Campbell River,Canada,50.02,-125.23,crbc,crbc,,,1323,3202,3201,[details],[edit],crbc,,Canada,Campbell River,SXAK50,CD402BD6,-999,2017-04-20 22:38,153d,5',[open]
SSC-camt,Lerma Campeche,Mexico,19.81,-90.59,camt,,,,,"2992, 2993",2991,[details],[edit],camt,,Mexico,Lerma Campeche,ftp,,3.18,2017-09-19 18:06,2d,1h,[open]
SSC-camu,Caja de Muertos,Puerto Rico,17.89,-66.53,camu,camu,,,,,,[details],[edit],camu,,Puerto Rico,Caja de Muertos,SXXX03,3366A6BC,-2.35,2017-09-20 13:43,19h,6',[open]
SSC-carb,Carboneras,Spain,36.97,-1.9,carb,,,,,,,[details],[edit],carb,,Spain,Carboneras,ftp,,0.12,08:48,11',4',[open]
SSC-cart,Cartagena,Colombia,10.4,-75.55,cart,,207.0,265,"1848, 572",925,2282,[details],[edit],carg,,Spain,Cartagena,bgan,CARG,0.5,08:38,21',1',[open]
SSC-cartm,Cartagena,Spain,37.6,-0.97,carg,,,,1460,3451,3450,[details],[edit],carg,,Spain,Cartagena,bgan,CARG,0.5,08:38,21',1',[open]
SSC-casc,Cascais,Portugal,38.69,-9.42,casc,,246.0,209,"2201, 52",648,2274,[details],[edit],casc,246,Portugal,Cascais,socket,,-1.33,08:59,-0',0.0833',[open]
SSC-cast,Castletownbere,Ireland,51.65,-9.9,cast,,330.0,835,1467,,2901,[details],[edit],cast,330,Ireland,Castletownbere,ftp,,0.05,08:00,59',1h,[open]
SSC-catn,Catania,Italy,37.5,15.09,CT03,cata,,,"102, 2094",2253,2251,[details],[edit],CT03,,Italy,Catania,web,,-0.02,08:52,7',5',[open]
SSC-cbmd,Cambridge,United States,38.57,-76.07,"cbmd, cbmd2",cbmd,,,"1295, 481",694,"2122, 2751",[details],[edit],cbmd,,USA,Cambridge,web,3366E5B6,1.15,08:48,11',5',[open]
SSC-cbmd,Cambridge,United States,38.57,-76.07,"cbmd, cbmd2",cbmd,,,"1295, 481",694,"2122, 2751",[details],[edit],cbmd2,,USA,Cambridge,SXXX03,3366E5B6,,2017-04-24 19:36,150d,5',[open]
SSC-cdtt,Cedros Bay,Trinidad and Tobago,10.09,-61.87,cdtt,cdtt,,,,,,[details],[edit],cdtt,,Trinidad & Tobago,Cedros Bay,SOTD10,A9C013C0,-999,2017-01-26 12:32,238d,1h,[open]
SSC-ceib,La Ceiba Cabotaje Harbor,Honduras,15.79,-86.76,ceib,ceib,,,,,,[details],[edit],ceib,,Honduras,La Ceiba Cabotaje Harbor,SOHO10,50C46088,0.53,2017-09-20 06:10,1d,1h,[open]
